election_id,event_number,electoral_district_number_numéro_de_circonscription,ballot_sequence_number,candidate_candidat,candidate_first_name_prénom_du_candidat,candidate_middle_name_second_prénom_du_candidat,candidate_family_name_nom_de_famille_du_candidat,candidate_gender_code,candidate_occupation_english_anglais,profession_du_candidat_français_french,incumbent_indicator,elected_indicator,candidate_residence_résidence_du_candidat,candidate_province_english_anglais,province_du_candidat_français_french,party_abbreviation_english_anglais,abréviation_de_parti_français_french
GE.36.1997,3600,ED12-005,2,Heather Foley,Heather,Heather,Foley,F,Businesswoman,Femme d'affaires,N,N,Halifax,Nova Scotia,Nouvelle-Écosse,PC,PC
GE.36.1997,3600,ED12-005,3,Stephen Oickle,Stephen,Stephen,Oickle,M,Businessman,Homme d'affaires,N,N,Bedford,Nova Scotia,Nouvelle-Écosse,Reform,Réforme
GE.36.1997,3600,ED12-005,4,Geoff Regan,Geoff,Geoff,Regan,M,Lawyer,Avocat,Y,N,Bedford,Nova Scotia,Nouvelle-Écosse,Liberal,Libéral
GE.36.1997,3600,ED12-005,5,John Runkle,John,John,Runkle,M,Teacher,Enseignant,N,N,Halifax,Nova Scotia,Nouvelle-Écosse,NLP,PLN
GE.36.1997,3600,ED12-005,6,Gary Zatzman,Gary,Gary,Zatzman,M,Computer Programmer-Analyst,Programmeur-analyste,N,N,Halifax,Nova Scotia,Nouvelle-Écosse,M-L,M-L
GE.36.1997,3600,ED12-006,1,Scott Brison,Scott,Scott,Brison,M,Businessperson,Personne d'affaires,N,Y,Cheverie,Nova Scotia,Nouvelle-Écosse,PC,PC
GE.36.1997,3600,ED12-006,2,Philip A. Brown,Philip,Philip,Brown,M,Waste Reduction Coordinator,Coordonnateur de la réduction des déchets,N,N,Lower Selma,Nova Scotia,Nouvelle-Écosse,NDP,NPD
GE.36.1997,3600,ED12-006,3,Graham Jake MacDonald,Graham,Graham,MacDonald,M,Retired,Retraité,N,N,Wolfville,Nova Scotia,Nouvelle-Écosse,Nil,Nil
GE.36.1997,3600,ED12-006,4,James McLelland,James,James,McLelland,M,Professor,Professeur,N,N,Grand Pré,Nova Scotia,Nouvelle-Écosse,NLP,PLN
GE.36.1997,3600,ED12-006,5,John Murphy,John,John,Murphy,M,Administrator of Health Services,Administrateur des services de santé,Y,N,Canning,Nova Scotia,Nouvelle-Écosse,Liberal,Libéral
