Geography,Reference period,Household final consumption expenditure,Food and non-alcoholic beverages,Food,Non-alcoholic beverages,"Alcoholic beverages, tobacco and cannabis",Alcoholic beverages,Tobacco,Cannabis products for non-medical use (licensed),Cannabis products for non-medical use (unlicensed),Clothing and footwear,"Clothing materials, other articles of clothing and clothing accessories",Garments,Cleaning of clothing,Footwear,"Housing, water, electricity, gas and other fuels",Paid rental fees for housing,Imputed rental fees for housing,Materials for the maintenance and repair of the dwelling,Services for the maintenance and repair of the dwelling,Water supply and sanitation services,Electricity,Gas,Other fuels,"Furnishings, household equipment and other goods and services related to the dwelling and property",Furniture and furnishings,Carpets and other floor coverings,Household textiles,Major household appliances,Small electric household appliances,Major tools and equipment,Small tools and miscellaneous accessories,Other semi-durable household goods,Other non-durable household goods,Repair of personal and household goods except vehicles,Renting and leasing of personal and household goods except passenger vehicles,Other services related to the dwelling and property,Health,Pharmaceutical products and other medical products (except cannabis),Cannabis products for medical use,Therapeutic appliances and equipment,Out-patient services,Hospital services,Transport,New passenger cars,"New trucks, vans and sport utility vehicles",Used motor vehicles,Other vehicles,Spare parts and accessories for vehicles,Fuels and lubricants,Maintenance and repair of vehicles,Parking,Passenger vehicle renting,Other services related to the operation of transport equipment,Urban transit and interurban bus,Taxi and limousine,Air transport,Railway and water transport,Other transport services,Communications,Postal services,Telecommunication equipment,Telecommunication services,Recreation and culture,Audio-visual and photographic equipment,Information processing equipment,Recording media,Major durables for outdoor recreation,Musical instruments and major durables for indoor recreation,"Games, toys and hobbies","Equipment for sport, camping and open-air recreation","Garden products, plants and flowers",Pets and pet food,Veterinary and other services for pets,Recreational and sporting services,"Cable, satellite and other program distribution services",Cinemas,Photographic services,Other cultural services,Games of chance,Books,Newspapers and periodicals,Miscellaneous printed matter and stationery and drawing materials,Education,University education,Other education,"Food, beverage and accommodation services",Food and non-alcoholic beverage services,Alcoholic beverage services,Accommodation services,Insurance and financial services,Life insurance,Property insurance,Health insurance,Insurance related to transport,Implicit loan charges,Implicit deposit charges,Stock and bond commissions,Other actual financial charges,Trusteed pension funds,Mutual funds,Miscellaneous goods and services,Personal grooming services,Electrical appliances for personal care,"Other appliances, articles and products for personal care","Jewellery, clocks and watches",Other personal effects,Child care services outside the home,Child care services in the home,Other social services and funeral services,Legal and other services,Net expenditure abroad,Expenditure by Canadians abroad,Expenditure by Canadians in other provinces or territories,Expenditure by non-residents in Canada,Expenditure by Canadians residing in other provinces or territories
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,"359,678.00","31,635.20","28,154.80","3,480.40","12,993.50","6,270.50","4,683.50",..,"2,039.50","14,817.50","1,356.60","10,720.80",692.2,"2,047.80","82,235.20","16,813.60","52,221.30","1,008.30",137.6,"2,284.60","5,728.40","3,195.50",845.9,"20,336.70","5,645.30",249.3,"1,169.50","2,006.30",587.4,"1,002.00",818.9,"2,202.20","2,587.80","1,018.50","1,353.40","1,696.10","15,722.00","6,620.70",2.3,"1,303.70","6,905.20",890.2,"50,039.90","6,580.70","8,534.80","4,278.80",877.6,"4,179.80","13,434.70","2,849.20",902.6,401.3,850.7,"2,176.40",425.1,"3,471.70",170.9,905.8,"9,230.80",506.2,316.5,"8,408.20","31,855.60","3,143.70","1,508.50","1,120.70","1,713.80",361.9,"2,014.00","1,637.80","1,204.70","1,318.50","1,034.60","3,592.20","3,327.70",473.3,377.4,947.4,"5,333.20","1,127.30",890.2,728.6,"5,917.00","3,310.90","2,606.00","22,859.10","16,591.10","3,341.80","2,926.20","33,959.00","3,748.20",731.1,"2,354.00","2,314.60","5,571.50","5,172.10","1,491.00","5,771.20","1,510.00","5,295.20","19,210.90","3,134.50",210.2,"5,059.70","1,412.30","1,003.80","1,682.90",507.1,"3,172.80","3,027.70","8,865.60","16,359.20","3,112.70","-8,240.90","-2,365.40"
,2011,"374,493.00","32,541.30","29,082.60","3,458.70","13,318.70","6,353.90","4,845.50",..,"2,119.20","15,320.10","1,401.00","11,022.10",722.4,"2,174.70","85,445.20","17,577.10","54,572.10",964.6,143.8,"2,421.80","5,592.20","3,178.90",994.6,"20,185.30","5,503.60",263,"1,153.70","1,955.90",611.9,"1,001.50",825.2,"2,222.60","2,535.80","1,055.90","1,321.10","1,735.10","16,377.30","7,056.30",3.4,"1,353.60","7,025.00",938.9,"53,689.70","6,532.70","8,339.10","4,393.10",870.9,"4,330.40","16,160.60","2,924.30",950.7,427.7,910.9,"2,276.30",446.7,"3,982.00",183.3,960.9,"9,927.90",536.4,347.2,"9,044.20","32,511.70","2,900.90","1,737.50","1,037.20","1,686.50",370.7,"1,972.50","1,728.90","1,245.00","1,345.10","1,131.40","3,736.10","3,666.00",490.8,385.3,"1,001.60","5,337.90","1,118.70",909,710.6,"6,304.80","3,571.00","2,733.80","24,032.40","17,396.20","3,536.90","3,099.30","35,389.90","3,728.50",835.7,"2,315.30","2,284.30","5,996.00","5,372.00","1,559.40","5,881.80","1,679.10","5,737.90","20,332.90","3,303.20",220,"5,298.90","1,522.10","1,038.70","1,761.60",515.4,"3,433.30","3,239.50","9,115.80","17,223.20","3,146.60","-8,788.60","-2,465.40"
,2012,"384,259.00","33,924.80","30,313.80","3,611.00","13,770.80","6,588.70","4,949.90",..,"2,232.20","15,475.00","1,399.80","11,141.20",727.5,"2,206.50","88,461.00","18,227.30","56,862.80",959.7,152.7,"2,562.40","5,943.50","2,805.50",947,"20,011.70","5,334.60",263.9,"1,201.80","1,862.60",655,967.7,819.1,"2,201.00","2,589.50","1,020.70","1,253.20","1,842.60","16,508.00","6,901.40",4.5,"1,351.40","7,260.90",989.7,"55,752.20","7,197.90","8,630.50","4,664.30",871.9,"4,231.50","16,497.60","2,951.30",999.2,435.3,979.8,"2,385.80",455.6,"4,276.80",177.1,997.4,"10,115.70",547.5,388,"9,180.10","32,779.10","2,704.10","1,708.40","1,000.70","1,681.10",375.7,"2,127.40","1,624.80","1,300.10","1,368.30","1,180.70","3,910.00","3,733.00",538.7,390.3,"1,013.50","5,374.80","1,075.80",887.4,784.5,"6,900.00","3,900.80","2,999.10","25,123.90","18,236.90","3,683.50","3,203.50","35,224.00","3,794.70",880,"2,422.60","2,577.90","5,576.60","4,880.00","1,643.70","6,055.30","1,735.60","5,657.80","21,052.70","3,347.30",235.2,"5,469.40","1,545.30","1,093.70","1,815.80",522.1,"3,668.70","3,355.30","9,160.30","18,027.10","3,255.60","-9,538.50","-2,583.90"
,2013,"398,236.00","34,984.30","31,405.50","3,578.80","13,810.90","6,697.00","4,754.30",..,"2,359.70","15,976.00","1,440.70","11,484.30",752.6,"2,298.40","92,894.90","18,991.00","59,410.20",981.4,159.8,"2,790.90","6,274.50","3,231.10","1,056.00","20,519.10","5,334.30",261.5,"1,208.40","1,941.30",711.4,961.7,869.5,"2,346.10","2,689.70","1,004.00","1,273.40","1,918.00","16,910.10","6,989.30",6.6,"1,405.00","7,465.50","1,043.70","58,821.00","7,394.60","9,746.30","4,916.50",890.9,"4,442.40","17,246.00","3,035.90","1,083.60",443.8,"1,039.80","2,490.90",462.1,"4,418.30",175.7,"1,034.20","10,627.90",564.2,375.2,"9,688.50","32,621.80","2,542.90","1,689.10",971,"1,667.80",381.3,"2,119.60","1,606.70","1,273.00","1,465.30","1,220.00","3,977.70","3,789.10",520,405.9,"1,066.60","5,190.00","1,061.50",860.5,813.8,"7,510.30","4,228.50","3,281.80","26,096.20","19,084.30","3,711.60","3,300.30","36,663.30","3,902.00",631.9,"2,572.50","2,697.00","5,631.30","5,278.80","1,779.90","6,371.70","2,073.20","5,725.00","21,584.30","3,368.50",252.3,"5,515.50","1,507.30","1,095.30","1,863.20",524.7,"3,903.20","3,554.30","9,215.90","18,684.00","3,325.00","-10,158.80","-2,634.30"
,2014,"417,605.00","36,484.80","32,856.80","3,628.00","14,239.90","6,943.60","4,929.70",..,"2,366.60","16,770.40","1,542.20","11,987.20",772.9,"2,468.00","97,269.30","19,708.00","61,853.90","1,024.90",165.5,"2,945.50","6,727.60","3,778.40","1,065.50","21,543.40","5,740.70",274.5,"1,267.30","2,092.40",729.9,"1,007.70",894.9,"2,474.60","2,742.50","1,027.20","1,282.30","2,009.30","17,460.30","7,171.50",14.5,"1,482.30","7,711.60","1,080.50","62,948.50","7,775.30","11,397.00","5,372.70","1,024.30","4,766.80","17,540.20","3,289.00","1,158.10",456.7,"1,104.90","2,572.80",482.6,"4,752.30",184.1,"1,071.80","11,137.90",691.9,411.2,"10,034.80","33,341.70","2,542.00","1,722.90",965.9,"1,761.10",384.4,"2,221.60","1,622.30","1,273.90","1,574.20","1,296.80","4,131.50","3,828.10",483.6,428.2,"1,102.60","5,125.70","1,133.10",899.8,844,"8,032.60","4,545.20","3,487.30","27,636.30","20,400.90","3,805.60","3,429.90","39,128.20","4,000.10",853.4,"2,661.20","2,647.70","5,760.00","5,725.90","1,909.30","6,822.10","2,362.10","6,386.50","22,482.60","3,468.90",255.7,"5,729.40","1,559.70","1,165.20","1,899.30",527.4,"4,118.30","3,758.70","9,129.10","19,639.00","3,222.60","-11,085.20","-2,647.30"
,2015,"435,326.00","38,401.90","34,641.90","3,759.90","14,654.10","7,268.70","5,068.10",..,"2,317.20","17,879.60","1,625.20","12,756.20",758.2,"2,740.00","101,150.50","20,587.20","64,314.10","1,098.40",179.6,"3,178.70","7,321.90","3,600.40",870.2,"22,497.50","6,135.50",274,"1,338.30","2,154.10",733.2,965.3,901.9,"2,724.40","2,852.40","1,065.20","1,295.10","2,058.10","18,248.40","7,465.50",27.8,"1,558.10","8,077.50","1,119.60","65,026.80","7,671.30","13,808.80","5,918.70","1,156.00","5,101.60","15,524.80","3,592.50","1,201.10",475.7,"1,208.80","2,597.90",493.4,"4,960.20",194.9,"1,121.10","11,642.40",731.2,455.4,"10,455.90","34,424.80","2,458.80","1,683.40",964.6,"1,867.50",395.5,"2,342.10","1,628.50","1,316.90","1,691.20","1,396.90","4,405.60","3,773.50",505.2,427.6,"1,180.30","5,532.20","1,140.40",856.1,858.5,"8,607.50","4,870.60","3,736.90","29,368.40","21,890.30","3,842.40","3,635.70","40,794.50","4,137.70",892,"2,732.20","2,710.70","5,688.10","5,639.90","2,011.90","7,531.70","2,423.80","7,026.50","23,461.50","3,521.60",254,"5,983.00","1,714.10","1,222.20","1,979.70",533,"4,334.50","3,919.50","9,168.10","20,771.60","3,547.50","-12,254.30","-2,896.70"
,2016,"450,917.00","39,671.00","35,908.60","3,762.50","15,193.00","7,627.10","5,351.40",..,"2,214.50","18,263.40","1,718.00","12,926.40",732,"2,887.00","104,803.30","21,384.00","66,878.30","1,127.00",186.7,"3,462.10","8,010.20","3,079.50",675.6,"23,560.80","6,528.70",297.8,"1,386.00","2,296.10",748.6,"1,044.20",948.4,"2,897.00","2,942.90","1,089.10","1,320.80","2,061.30","18,905.10","7,460.90",101.8,"1,690.60","8,497.50","1,154.20","68,557.30","7,582.70","16,153.00","6,483.00","1,201.60","5,463.40","15,013.10","3,802.60","1,270.90",501.5,"1,310.40","2,672.80",512.1,"5,204.20",209.8,"1,176.40","12,064.20",686.4,493.3,"10,884.60","35,438.40","2,483.90","1,756.40",913.5,"1,971.00",418.1,"2,368.40","1,638.10","1,388.00","1,824.70","1,445.60","4,709.50","3,740.80",503.4,425.7,"1,230.00","5,786.50","1,199.40",811.3,824.1,"9,295.40","5,283.70","4,011.70","31,233.90","23,247.10","4,017.20","3,969.50","42,323.60","4,255.20",933.1,"2,833.80","2,743.10","5,928.90","5,732.70","2,119.40","7,697.70","2,543.50","7,536.30","24,280.30","3,518.70",258.3,"6,257.90","1,810.30","1,243.10","2,095.30",542.6,"4,564.70","3,989.50","7,327.30","20,839.00","3,989.60","-14,340.70","-3,160.50"
,2017,"474,229.00","41,110.90","37,215.70","3,895.30","15,513.60","7,946.10","5,558.20",..,"2,009.30","19,218.60","1,747.20","13,687.40",748.8,"3,035.20","107,984.00","22,193.90","69,658.30","1,178.10",194.2,"3,725.70","6,959.60","3,401.20",673.1,"24,732.30","6,984.30",305.1,"1,441.70","2,543.20",798.4,"1,140.90","1,031.50","2,955.10","3,044.50","1,078.80","1,309.10","2,099.70","19,972.40","7,871.40",216.7,"1,777.60","8,898.60","1,208.10","75,356.00","8,090.60","18,349.70","7,205.40","1,331.90","5,825.20","16,951.00","3,885.50","1,343.10",527.7,"1,414.10","2,787.40",530.5,"5,682.50",233.1,"1,198.20","12,721.10",690.7,545.6,"11,484.80","37,240.20","2,772.60","1,857.20",861.8,"2,251.00",417.3,"2,321.60","1,698.40","1,522.50","2,022.40","1,573.60","4,995.00","3,897.40",505,443.9,"1,291.30","5,982.40","1,252.40",756,818.4,"10,029.70","5,712.50","4,317.20","33,025.20","24,563.40","4,125.10","4,336.70","44,521.00","4,421.60","1,024.90","2,950.00","2,885.80","6,132.00","5,854.00","2,259.90","7,912.00","2,702.10","8,378.60","25,567.20","3,565.70",274.4,"6,713.70","1,996.20","1,269.90","2,235.00",549,"4,809.80","4,153.50","7,236.80","21,880.70","4,446.50","-15,617.00","-3,473.40"
Manitoba,1997,"18,197.00","1,984.60","1,753.60",231,908.3,362.1,390.1,..,156,862.5,74,638.4,42.1,107.9,"4,318.40",851.2,"2,758.30",41.6,5.8,91.1,371.6,160.6,38.1,944.3,239.9,9.8,53.7,101.6,26.9,61.2,37.7,109,153.9,46.7,53.2,50.8,546.3,243,..,47.4,221,34.9,"2,378.60",323.9,527.8,178.5,49.5,221.5,542.7,151.6,42.2,20.4,24,62.2,14.9,179.5,2.9,36.9,362.4,27.1,10.8,324.5,"1,727.10",196.2,63.3,73.4,109.4,30.5,95.8,95.4,60.9,63.8,23.7,146.1,96.9,14.5,31.3,39.8,417.7,53.4,71.8,43.1,165.9,79.7,86.2,"1,219.70",859.1,230.8,129.9,"1,401.90",263.6,30.7,83.8,115.8,181.8,251,49.2,189.4,32.9,203.6,961.5,136.4,10,257.9,80.6,51.5,77.7,40.5,182.7,124.3,415.5,521.7,270.2,-220,-156.4
,1998,"18,587.00","2,007.80","1,766.30",241.4,940.4,374.6,405,..,160.8,882.8,76.2,648.7,43.5,114.4,"4,351.80",869,"2,817.50",42.8,6,95,334.3,161.5,25.8,983.6,254.1,10.3,55.5,106.5,29.1,62.1,38.4,113.8,156.9,50.5,56.1,50.2,611,262.3,..,49,261.5,38.1,"2,362.30",301.3,505,180.5,53,230.2,533.5,154,43.9,20.7,25.8,64,14.5,195.3,3.1,37.6,386.7,27.4,11.8,347.4,"1,824.50",202,67.5,82,117.6,32.8,103.9,101,61.9,68.3,25.4,165,110.6,17.5,33.1,44.8,417.3,57.6,72.2,44,175.4,83.9,91.5,"1,201.60",868.3,193.2,140.1,"1,438.20",256,33.7,63.8,125.6,189.6,248,44.7,203.7,36.2,236.8,"1,046.50",140.2,10.6,267.3,85.3,53.7,79.7,39.5,240.3,130,374.5,526,289,-262.8,-177.7
,1999,"19,278.00","2,046.90","1,800.00",246.9,958.4,391.4,397.1,..,169.9,913,78.9,674.8,41.6,117.7,"4,467.80",887.8,"2,870.10",45.4,6.7,103,352.3,174.7,27.9,"1,028.70",270.4,11.1,55.8,110.7,30.7,62.8,40,119.6,162,54.2,58.6,52.8,577.6,249.8,..,56.5,257.1,14.2,"2,483.30",340.7,504.7,168.5,53,243.3,596.2,162.1,45.8,21.5,27.3,68.2,13.4,196.3,3,39.3,394.3,30.7,12.7,350.9,"1,958.90",210.7,72.6,84.4,120.7,34.1,109.4,104.9,64.7,74.3,27.3,177,129.1,23.2,35.4,47.6,460.1,61.9,74.8,46.6,192.9,95.1,97.8,"1,232.60",894.2,196.9,141.4,"1,513.90",267.1,40.7,79.3,125.6,207.7,235,48.4,220.4,40.4,249.3,"1,100.80",152.7,11.2,279,90.4,56.8,84.3,40.3,255.9,130.3,409.1,553,306.9,-284.3,-166.5
,2000,"20,070.00","2,132.90","1,858.90",274,980.6,398.9,401.7,..,180,938,81.7,693.6,40.9,121.8,"4,595.60",904.5,"2,943.30",47.2,7.4,101.3,363.7,199.5,28.6,"1,075.30",288.7,11.6,57.6,114.5,31.7,64.9,41.5,122.9,165.4,58,62.9,55.6,631.4,276,..,63,276,16.4,"2,613.90",370.3,464.5,176.7,52.8,253.5,689.8,169,48.2,23.1,28.2,70.5,13.3,209.7,2.9,41.5,432.3,32.6,15.4,384.3,"2,058.80",224.6,79.5,83.8,123.8,35,114.1,108.4,69.4,78.2,22.5,193.2,141.6,22.9,36.4,51.7,485.7,63.9,76,48,200.3,100.2,100.1,"1,296.80",951.6,199.3,145.9,"1,586.70",275.4,41.4,84.2,125.6,224.4,230,56.6,244,44.9,260.3,"1,154.90",163.4,11.5,287.6,94.1,59.5,89.8,40.6,272.4,136,372.3,583.7,319.6,-337.4,-193.6
,2001,"20,903.00","2,238.60","1,953.50",285.1,"1,036.30",416.3,430.6,..,189.5,968.3,85.6,718.4,37,127.3,"4,781.60",921.8,"3,040.50",50.3,7.9,105.6,371.5,262.5,21.5,"1,129.00",306.7,12.2,60.8,118.8,33.6,68.5,44.6,129.9,172.4,60.5,66.1,54.8,651.8,283.6,0,67.3,281.3,19.6,"2,707.10",401.3,474.6,187,54.8,272.7,700.5,182.6,50.3,24.5,29.2,73.8,15,195.6,2.9,42.2,487,33.9,16.4,436.8,"2,147.90",234.1,78.4,88,134.6,32.6,121.8,114.3,73.9,80.7,25,191.3,154.3,24.6,36.1,51.2,510.8,67.6,77.9,50.7,211.9,106.1,105.8,"1,306.90",956,202.7,148.2,"1,632.70",278.2,47.9,92,118.9,246.8,223,48.3,257.7,51,269,"1,170.20",171.8,12.2,306.6,96.8,61.9,70.3,26.7,290.9,133.1,433.7,611.7,340,-308.8,-209.3
,2002,"21,975.00","2,312.10","2,022.30",289.8,"1,147.10",434.7,515.8,..,196.6,"1,004.10",88.4,748.7,35.9,131.1,"4,941.10",938.2,"3,172.30",53.7,8.3,109.2,398.4,240,21,"1,200.20",325.3,13.7,65,128,35.2,72.2,49.7,139.1,182.9,64.4,66.6,58,719.1,320,0,73.6,304.5,21,"2,926.40",472.6,582.2,204.4,59.7,294.8,687.8,194.3,52.3,26,29.9,74.3,17,186,3.9,41.3,519.5,34.3,16.8,468.4,"2,254.60",243,74,92.6,147.5,32.9,133.2,120.6,75.7,84.8,29.1,199.9,164.9,25.2,34.7,53.1,538.7,73.1,78.7,52.8,228.7,115.5,113.2,"1,324.80",968,199.9,156.9,"1,737.10",282.3,51,101.3,136.9,254.1,239,41.3,284.1,60.5,286.7,"1,224.20",181.4,12.8,330.1,99.2,63.4,74.9,26.7,301.5,134.1,436,623.7,362.5,-334.5,-215.7
,2003,"22,737.00","2,365.10","2,072.80",292.2,"1,237.90",461,574.1,..,202.9,"1,027.10",90.6,765.3,37.8,133.5,"5,113.90",968.5,"3,271.70",58,8.8,115.7,420.9,248.5,21.7,"1,255.50",339,14.1,67.1,134.9,36.8,76.1,52.2,145.4,190.6,67.3,70.5,61.4,758.4,340,0,78.7,317.6,22.1,"3,034.90",433.3,569.2,262.8,56.3,308,765.7,207.9,55.3,27.1,30.9,75.6,17.9,179.8,3.9,41.4,549.2,35.9,17.6,495.8,"2,303.10",247.1,75,97.9,160.1,32.9,138.2,124,78.6,89.6,31.2,211.5,175.7,24.9,34.8,55.7,518.4,74.4,79.5,53.6,241.4,123.4,118,"1,342.20",978.9,204.4,158.9,"1,799.60",285.6,58.7,109.2,161.4,265.7,255,47.7,301.6,62.7,252,"1,254.80",189.2,13.4,346.3,100,66.3,76.3,26.9,307.2,129.2,453.9,623.7,373.3,-289.9,-253.2
,2004,"23,845.00","2,451.10","2,145.20",305.9,"1,267.60",476.7,584.4,..,206.6,"1,053.00",93.6,781.4,38.2,139.8,"5,294.10",998.5,"3,395.20",63.1,9.5,119.3,437.4,250.7,20.3,"1,337.10",371,15.3,66.5,140.7,39.2,81.2,56.6,155.1,201.6,69.9,75.9,64,823.9,369.7,0,85.4,344.9,23.9,"3,244.80",416.1,590.8,296.2,54.6,329.9,888.3,216.9,58,28,32.3,79.4,20.9,186.1,4,43.5,571.2,37.8,19.5,514,"2,433.30",259,80,103.5,168.9,34.7,145.5,130.2,82,95.4,33.1,225.3,193.3,25,34.3,60.7,547.6,75.7,82.8,56.1,251.2,129.8,121.4,"1,406.90","1,026.50",209.9,170.6,"1,913.00",289.9,65.2,109.2,179.1,278.2,256,55.2,324.9,71.1,284.3,"1,310.50",196,14.3,369.7,104.8,70.5,77.3,26.6,315.7,135.7,487.3,677,399.2,-323,-265.9
,2005,"25,059.00","2,506.40","2,191.90",314.5,"1,290.80",492.1,593.6,..,205.1,"1,087.50",97,806,37.8,146.7,"5,522.90","1,025.40","3,556.80",71.7,9.9,127.6,470.8,236.1,24.5,"1,407.80",391.2,17,67.1,147.8,42.1,87.4,61.5,161.1,210.2,73.7,80.3,68.4,880.8,392.6,0,87.9,374.6,25.7,"3,472.20",423.4,601.5,324.2,57.7,358.8,990.5,231.3,59.5,28.3,33.3,88.8,22.3,202.6,4.2,46,629.6,38.1,21.2,570.4,"2,613.00",273.1,83.9,110.8,185.4,35.8,155.3,136.8,86.4,101,36.4,246.8,207.1,24.1,33.5,66.2,611.5,76.6,83.2,59.2,266.7,138.2,128.6,"1,419.70","1,030.60",210.9,178.2,"2,029.90",296,65.3,117.7,191.9,302.2,258,64.7,342.3,75.8,316,"1,367.30",205.7,15.4,383.7,106.8,73.7,78.6,25.2,332.7,145.5,564.3,757.3,413.3,-330.3,-276
,2006,"26,224.00","2,567.50","2,245.50",321.9,"1,310.90",527.7,588.1,..,195.1,"1,136.40",99.6,842,37.8,157,"5,776.80","1,073.20","3,776.60",77.7,10.6,131.6,457.5,230.4,19.2,"1,509.40",432,17.5,71.5,159.7,43.4,92.2,66.9,168.5,220.6,78.9,85,73.2,927.5,420.1,0,94.7,384.9,27.8,"3,651.70",418.5,600.3,323.5,63.4,380.7,"1,098.10",238.2,63.7,29.8,34.9,94.8,24,227.8,4.3,49.8,651.5,38.3,21.9,591.2,"2,727.60",282.4,85.8,114.1,205.7,36.5,165.9,147.3,83.9,103.7,39.9,260.9,220.1,24.3,32.8,69.7,632.3,79.7,81.8,60.9,278.9,145.8,133.1,"1,491.40","1,085.60",219.3,186.4,"2,128.00",300,69.9,120.4,198.8,304.4,270,75.2,369.1,78.9,341.3,"1,418.20",211.8,16,392.8,113.1,76.1,82.2,23.3,347.4,155.5,648.1,830.3,435.1,-330.6,-286.6
,2007,"27,967.00","2,678.10","2,335.10",343,"1,349.70",557.2,610.2,..,182.2,"1,191.30",103.8,881.1,38.2,168.3,"6,131.20","1,123.00","3,991.40",82.8,11.3,146.3,507,247.6,22,"1,617.30",468.9,18.5,74.5,174.8,46.5,100.6,71.2,176.4,231.7,83.1,90.5,80.6,989.5,457,0.1,102.5,400.7,29.2,"3,925.50",427.4,627.3,350.7,72.2,433.3,"1,199.60",263,67,30.2,36.5,97.5,25.1,238.2,4.4,53,696.8,39.8,23.7,633.3,"2,937.00",307.1,94.7,120.2,234.3,37.4,181.5,156.4,91.1,108.3,50.3,285.7,239.6,25.8,32.9,75.2,672,79.3,80.1,65,286,145.7,140.3,"1,568.10","1,139.90",227.7,200.4,"2,281.20",311.3,76.7,135.1,198.3,302.6,264,83.4,417.1,92.2,400.4,"1,489.80",221.3,17.2,412.9,120.6,80.6,85.9,22.7,361.7,166.9,825.5,998,464.7,-352,-285.3
,2008,"29,288.00","2,801.40","2,447.40",354,"1,366.70",589.6,597.3,..,179.8,"1,204.30",104.2,889.2,38.4,172.6,"6,479.70","1,178.40","4,205.60",88.8,11.9,168,536.8,266.7,23.5,"1,724.70",501.2,19.6,79.2,188.7,51.2,106,76.7,189.4,243.1,86.9,97.4,85.3,"1,082.60",502.9,0.1,112.5,435.7,31.5,"4,103.10",455.6,586.4,355.6,79.9,465.9,"1,297.20",280.5,72.1,30,37.4,103,26.8,252.4,4.3,56.2,742.4,41.1,25,676.2,"3,115.20",324.6,105.6,129.4,238.2,39,203.5,164.7,101.1,118.1,54.6,300.6,257.2,27.8,32.4,78.7,713.1,81,78.7,66.9,292.3,144.7,147.6,"1,631.40","1,176.50",237.4,217.5,"2,308.20",328.8,79,142.2,201.5,301.5,276,82.9,441.5,99.7,355.2,"1,564.90",225.4,19,436.1,125.3,85.9,90,21.9,381.2,180.1,870.9,"1,066.50",413.3,-364.9,-243.9
,2009,"29,856.00","2,971.80","2,595.10",376.7,"1,399.10",613.1,614.4,..,171.6,"1,200.10",102.8,878.2,38,181.1,"6,789.70","1,245.40","4,436.90",88.3,12.2,172.2,578.1,235.7,20.9,"1,718.00",476.5,18.5,78.4,188.2,52,106.4,75.5,193.1,253.2,89.5,102.4,84.2,"1,148.20",535.2,0.1,119.9,459.9,33,"3,918.00",393.3,660.9,301.9,80.4,482.4,"1,146.50",288.6,82.4,28,38.7,104,27.5,224.5,4,54.8,772,41.7,26.3,704,"3,172.20",302.4,103.9,123,230.6,39.6,202.1,172.6,107.3,132.7,58.5,320.6,269.2,33.7,33.1,86.5,718.7,86,81.2,70.7,305.5,153.3,152.2,"1,652.40","1,190.20",238.7,223.6,"2,200.60",347,79.5,149,215.1,283,260,76.2,406.9,92.3,291.6,"1,620.10",227,19.3,457.1,124.7,87.9,94,21.4,401,187.7,988.3,"1,132.50",425.7,-337.4,-232.5
,2010,"31,374.00","3,033.70","2,650.30",383.5,"1,462.00",632.3,660.7,..,168.9,"1,235.40",104.7,905.2,37.5,188,"7,163.50","1,328.90","4,754.20",89,13.1,177.8,584.5,192.8,23.3,"1,762.10",503.6,18.8,79.9,188.6,52.7,106.4,76.2,197.8,253.5,91.6,102.8,90.1,"1,231.30",574.7,0.1,127.3,494.2,35,"4,243.90",358.3,744.4,337.8,89.4,508.9,"1,296.80",302.4,92.3,27.6,37.8,111,28.4,247.3,3.9,57.7,793,42.8,27.4,722.8,"3,251.90",311.9,113.2,117.5,235.9,38.1,197.9,175.9,110.2,137.8,64.4,324.9,294.8,34,33.9,87.7,731.4,88.9,82.5,71,331.4,166.9,164.5,"1,709.30","1,236.20",242.9,230.2,"2,340.50",344.7,86,153,198,308.2,306.2,80.2,387.6,116.1,360.6,"1,671.20",226.7,19.6,468,130.1,91.5,99.1,22.5,416.1,197.6,"1,144.60","1,246.40",483.5,-326.9,-258.3
,2011,"32,759.00","3,114.50","2,706.10",408.4,"1,502.80",651.7,675.6,..,175.4,"1,275.10",104.3,930.2,38.6,202,"7,487.40","1,388.40","4,980.00",89.8,13.6,183.2,596.9,211.1,24.3,"1,800.80",510.9,19.4,80.2,184.7,54.7,107.2,78.1,215.4,268.6,93.5,95.3,92.8,"1,310.50",613.9,0.2,134.6,524.5,37.3,"4,636.70",344.8,774.7,367.6,96.2,539.8,"1,550.00",319.9,101.8,29,39.6,117.4,29,260.7,4.3,61.8,833.2,44.4,30.2,758.6,"3,305.90",301.1,125.3,108.1,233.9,39.2,202.4,172.8,105.9,143.2,68.1,350.5,311.8,33.3,34.8,98.3,727.7,90.7,87.4,71.2,350.2,173.9,176.3,"1,805.60","1,313.10",250,242.5,"2,510.10",350.5,99.5,153.4,195.3,377,350,85.1,396.6,127.2,375.4,"1,691.80",235.1,20.5,455.1,137.4,91.5,102.6,22.5,430.4,196.8,"1,134.50","1,234.20",506.9,-341.8,-264.7
